economy,time,SP.URB.TOTL.IN.ZS
EUU,YR2011,73.1678232637289
EUU,YR2012,73.3566215347763
EUU,YR2013,73.539117148355
EUU,YR2014,73.7174762805141
EUU,YR2015,73.9077723119515
EUU,YR2016,74.1046242966669
EUU,YR2017,74.3070266759772
EUU,YR2018,74.5169353950784
EUU,YR2019,74.7386633777464
FCS,YR2006,38.8701751817268
FCS,YR2007,39.0987966051102
FCS,YR2008,39.4463845102879
FCS,YR2009,39.8005658906147
FCS,YR2010,40.1607025274535
FCS,YR2011,40.4667391128396
FCS,YR2012,40.7701886773318
FCS,YR2013,41.1141170051264
FCS,YR2014,41.4599245804565
FCS,YR2015,41.8387025557575
FCS,YR2016,42.2136859138746
FCS,YR2017,42.5797885886349
FCS,YR2018,42.9279959137308
FCS,YR2019,43.2769407730994
FIN,YR2006,83.037
FIN,YR2007,83.168
FIN,YR2008,83.299
FIN,YR2009,83.429
FIN,YR2010,83.77
FIN,YR2011,84.313
FIN,YR2012,84.841
FIN,YR2013,85.125
FIN,YR2014,85.175
FIN,YR2015,85.225
FIN,YR2016,85.275
FIN,YR2017,85.325
FIN,YR2018,85.382
FIN,YR2019,85.446
FJI,YR2006,50.264
FJI,YR2007,50.657
FJI,YR2008,51.146
FJI,YR2009,51.658
FJI,YR2010,52.171
FJI,YR2011,52.683
FJI,YR2012,53.196
FJI,YR2013,53.706
FJI,YR2014,54.216
FJI,YR2015,54.726
FJI,YR2016,55.235
FJI,YR2017,55.742
FJI,YR2018,56.248
FJI,YR2019,56.75
FRA,YR2006,77.377
FRA,YR2007,77.621
FRA,YR2008,77.868
FRA,YR2009,78.117
FRA,YR2010,78.369
FRA,YR2011,78.622
FRA,YR2012,78.878
FRA,YR2013,79.135
FRA,YR2014,79.394
FRA,YR2015,79.655
FRA,YR2016,79.917
FRA,YR2017,80.18
FRA,YR2018,80.444
FRA,YR2019,80.709
FRO,YR2006,40.147
FRO,YR2007,40.341
FRO,YR2008,40.536
FRO,YR2009,40.731
FRO,YR2010,40.926
FRO,YR2011,41.088
FRO,YR2012,41.225
FRO,YR2013,41.363
FRO,YR2014,41.501
FRO,YR2015,41.638
FRO,YR2016,41.777
FRO,YR2017,41.914
FRO,YR2018,42.064
FRO,YR2019,42.225
FSM,YR2006,22.324
FSM,YR2007,22.317
FSM,YR2008,22.311
FSM,YR2009,22.305
FSM,YR2010,22.298
FSM,YR2011,22.305
FSM,YR2012,22.324
FSM,YR2013,22.355
FSM,YR2014,22.399
FSM,YR2015,22.456
FSM,YR2016,22.526
FSM,YR2017,22.608
FSM,YR2018,22.703
FSM,YR2019,22.812
GAB,YR2006,83.107
GAB,YR2007,83.742
GAB,YR2008,84.359
GAB,YR2009,84.955
GAB,YR2010,85.533
GAB,YR2011,86.092
GAB,YR2012,86.634
GAB,YR2013,87.156
GAB,YR2014,87.651
GAB,YR2015,88.118
GAB,YR2016,88.559
GAB,YR2017,88.976
GAB,YR2018,89.37
GAB,YR2019,89.741
GBR,YR2006,80.199
GBR,YR2007,80.479
GBR,YR2008,80.757
GBR,YR2009,81.031
GBR,YR2010,81.302
GBR,YR2011,81.57
GBR,YR2012,81.837
GBR,YR2013,82.102
GBR,YR2014,82.365
GBR,YR2015,82.626
GBR,YR2016,82.886
GBR,YR2017,83.143
GBR,YR2018,83.398
GBR,YR2019,83.652
GEO,YR2006,53.992
GEO,YR2007,54.379
GEO,YR2008,54.765
GEO,YR2009,55.15
GEO,YR2010,55.535
GEO,YR2011,55.919
GEO,YR2012,56.303
GEO,YR2013,56.685
GEO,YR2014,57.067
GEO,YR2015,57.448
GEO,YR2016,57.837
GEO,YR2017,58.231
GEO,YR2018,58.632
GEO,YR2019,59.039
GHA,YR2006,47.988
GHA,YR2007,48.669
GHA,YR2008,49.351
GHA,YR2009,50.031
GHA,YR2010,50.713
GHA,YR2011,51.394
GHA,YR2012,52.073
GHA,YR2013,52.748
GHA,YR2014,53.419
GHA,YR2015,54.086
GHA,YR2016,54.749
GHA,YR2017,55.407
GHA,YR2018,56.06
GHA,YR2019,56.707
GIB,YR2006,100.0
GIB,YR2007,100.0
GIB,YR2008,100.0
GIB,YR2009,100.0
GIB,YR2010,100.0
GIB,YR2011,100.0
GIB,YR2012,100.0
GIB,YR2013,100.0
GIB,YR2014,100.0
GIB,YR2015,100.0
GIB,YR2016,100.0
GIB,YR2017,100.0
GIB,YR2018,100.0
GIB,YR2019,100.0
GIN,YR2006,32.539
GIN,YR2007,32.822
GIN,YR2008,33.106
GIN,YR2009,33.391
GIN,YR2010,33.678
GIN,YR2011,33.966
GIN,YR2012,34.255
GIN,YR2013,34.545
GIN,YR2014,34.836
GIN,YR2015,35.141
GIN,YR2016,35.46
GIN,YR2017,35.793
GIN,YR2018,36.14
GIN,YR2019,36.5
GMB,YR2006,52.751
GMB,YR2007,53.481
GMB,YR2008,54.211
GMB,YR2009,54.937
GMB,YR2010,55.662
GMB,YR2011,56.384
GMB,YR2012,57.105
GMB,YR2013,57.82
GMB,YR2014,58.528
GMB,YR2015,59.228
GMB,YR2016,59.918
GMB,YR2017,60.599
GMB,YR2018,61.27
GMB,YR2019,61.931
GNB,YR2006,38.545
GNB,YR2007,38.934
GNB,YR2008,39.325
GNB,YR2009,39.716
GNB,YR2010,40.111
GNB,YR2011,40.508
GNB,YR2012,40.908
GNB,YR2013,41.31
GNB,YR2014,41.715
GNB,YR2015,42.123
GNB,YR2016,42.533
GNB,YR2017,42.945
GNB,YR2018,43.36
GNB,YR2019,43.777
GNQ,YR2006,59.431
GNQ,YR2007,61.1
GNQ,YR2008,62.745
GNQ,YR2009,64.358
GNQ,YR2010,65.94
GNQ,YR2011,67.488
GNQ,YR2012,69.0
GNQ,YR2013,69.544
GNQ,YR2014,70.083
GNQ,YR2015,70.616
GNQ,YR2016,71.138
GNQ,YR2017,71.646
GNQ,YR2018,72.143
GNQ,YR2019,72.627
GRC,YR2006,74.827
GRC,YR2007,75.199
GRC,YR2008,75.568
GRC,YR2009,75.932
GRC,YR2010,76.292
GRC,YR2011,76.649
GRC,YR2012,77.004
GRC,YR2013,77.355
GRC,YR2014,77.702
GRC,YR2015,78.046
GRC,YR2016,78.387
GRC,YR2017,78.724
GRC,YR2018,79.058
GRC,YR2019,79.388
GRD,YR2006,35.889
GRD,YR2007,35.883
GRD,YR2008,35.877
GRD,YR2009,35.871
GRD,YR2010,35.865
GRD,YR2011,35.859
GRD,YR2012,35.869
GRD,YR2013,35.896
GRD,YR2014,35.938
GRD,YR2015,35.997
GRD,YR2016,36.072
GRD,YR2017,36.164
GRD,YR2018,36.272
GRD,YR2019,36.396
GRL,YR2006,83.172
GRL,YR2007,83.482
GRL,YR2008,83.787
GRL,YR2009,84.087
GRL,YR2010,84.383
GRL,YR2011,84.755
GRL,YR2012,85.2
GRL,YR2013,85.551
GRL,YR2014,85.813
GRL,YR2015,86.071
GRL,YR2016,86.326
GRL,YR2017,86.574
GRL,YR2018,86.816
GRL,YR2019,87.052
GTM,YR2006,47.21
GTM,YR2007,47.508
GTM,YR2008,47.807
GTM,YR2009,48.104
GTM,YR2010,48.403
GTM,YR2011,48.701
GTM,YR2012,49.0
GTM,YR2013,49.311
GTM,YR2014,49.634
GTM,YR2015,49.971
GTM,YR2016,50.319
GTM,YR2017,50.68
GTM,YR2018,51.054
GTM,YR2019,51.439
GUM,YR2006,93.727
GUM,YR2007,93.822
GUM,YR2008,93.916
GUM,YR2009,94.008
GUM,YR2010,94.099
GUM,YR2011,94.188
GUM,YR2012,94.277
GUM,YR2013,94.364
GUM,YR2014,94.449
GUM,YR2015,94.534
GUM,YR2016,94.617
GUM,YR2017,94.699
GUM,YR2018,94.78
GUM,YR2019,94.859
GUY,YR2006,27.582
GUY,YR2007,27.343
GUY,YR2008,27.105
GUY,YR2009,26.869
GUY,YR2010,26.634
GUY,YR2011,26.4
GUY,YR2012,26.4
GUY,YR2013,26.4
GUY,YR2014,26.414
GUY,YR2015,26.441
GUY,YR2016,26.482
GUY,YR2017,26.538
GUY,YR2018,26.606
GUY,YR2019,26.689
HIC,YR2006,78.2709532430947
HIC,YR2007,78.5792585055461
HIC,YR2008,78.8787115358647
HIC,YR2009,79.1622470857166
HIC,YR2010,79.4341186283684
HIC,YR2011,79.6394944808068
HIC,YR2012,79.8136021634628
HIC,YR2013,79.9831677942623
HIC,YR2014,80.1511806661564
HIC,YR2015,80.3262196979627
HIC,YR2016,80.5049200276695
HIC,YR2017,80.6858993012658
HIC,YR2018,80.8693831436235
HIC,YR2019,81.0617249252489
HKG,YR2006,100.0
HKG,YR2007,100.0
HKG,YR2008,100.0
HKG,YR2009,100.0
HKG,YR2010,100.0
HKG,YR2011,100.0
HKG,YR2012,100.0
HKG,YR2013,100.0
HKG,YR2014,100.0
HKG,YR2015,100.0
HKG,YR2016,100.0
HKG,YR2017,100.0
HKG,YR2018,100.0
HKG,YR2019,100.0
HND,YR2006,49.245
HND,YR2007,49.905
HND,YR2008,50.566
HND,YR2009,51.225
HND,YR2010,51.885
HND,YR2011,52.543
HND,YR2012,53.202
HND,YR2013,53.858
HND,YR2014,54.514
HND,YR2015,55.165
HND,YR2016,55.813
HND,YR2017,56.457
HND,YR2018,57.096
HND,YR2019,57.73
HPC,YR2006,30.8539109721792
HPC,YR2007,31.1752552555805
HPC,YR2008,31.6119109380997
HPC,YR2009,32.0453349252391
HPC,YR2010,32.4874186527307
HPC,YR2011,32.9320103987641
HPC,YR2012,33.3592931402116
HPC,YR2013,33.7922120514765
HPC,YR2014,34.2331207470232
HPC,YR2015,34.6872323546991
HPC,YR2016,35.1500787535772
HPC,YR2017,35.612932485169
HPC,YR2018,36.0789577950237
HPC,YR2019,36.5507593478923
HRV,YR2006,54.483
HRV,YR2007,54.651
HRV,YR2008,54.819
HRV,YR2009,54.987
HRV,YR2010,55.155
HRV,YR2011,55.322
HRV,YR2012,55.506
HRV,YR2013,55.706
HRV,YR2014,55.923
HRV,YR2015,56.155
HRV,YR2016,56.403
HRV,YR2017,56.667
HRV,YR2018,56.947
HRV,YR2019,57.242
HTI,YR2006,43.604
HTI,YR2007,44.574
HTI,YR2008,45.551
HTI,YR2009,46.528
HTI,YR2010,47.509
HTI,YR2011,48.492
HTI,YR2012,49.477
HTI,YR2013,50.46
HTI,YR2014,51.444
HTI,YR2015,52.427
HTI,YR2016,53.396
HTI,YR2017,54.346
HTI,YR2018,55.278
HTI,YR2019,56.192
HUN,YR2006,66.895
HUN,YR2007,67.421
HUN,YR2008,67.943
HUN,YR2009,68.46
HUN,YR2010,68.911
HUN,YR2011,69.358
HUN,YR2012,69.678
HUN,YR2013,69.953
HUN,YR2014,70.227
HUN,YR2015,70.5
HUN,YR2016,70.779
HUN,YR2017,71.062
HUN,YR2018,71.351
HUN,YR2019,71.644
IBD,YR2006,47.5576303543701
IBD,YR2007,48.2068343294894
IBD,YR2008,48.8599490383976
IBD,YR2009,49.5138131473815
IBD,YR2010,50.163917575258
IBD,YR2011,50.7871751468763
IBD,YR2012,51.40177141437
IBD,YR2013,52.0256973140135
IBD,YR2014,52.6581969748838
IBD,YR2015,53.287737364067
IBD,YR2016,53.9073870001126
IBD,YR2017,54.520620356404
IBD,YR2018,55.1255588439049
IBD,YR2019,55.7218764499769
IBT,YR2006,43.7837689990027
IBT,YR2007,44.3403847299509
IBT,YR2008,44.9112345692757
IBT,YR2009,45.4807651726145
IBT,YR2010,46.0470603277563
IBT,YR2011,46.5864975144818
IBT,YR2012,47.1175160064689
IBT,YR2013,47.6572189599532
IBT,YR2014,48.205244784881
IBT,YR2015,48.7582673006684
IBT,YR2016,49.3031020561609
IBT,YR2017,49.8415425988497
IBT,YR2018,50.3713106038888
IBT,YR2019,50.8925817245886
IDA,YR2006,31.2984453865451
IDA,YR2007,31.7214457027335
IDA,YR2008,32.1908272566563
IDA,YR2009,32.6567482776755
IDA,YR2010,33.1353099079306
IDA,YR2011,33.5863858123818
IDA,YR2012,34.0150523928653
IDA,YR2013,34.4381010915295
IDA,YR2014,34.8699613406463
IDA,YR2015,35.3403849622393
IDA,YR2016,35.8231166721644
IDA,YR2017,36.3130157515965
IDA,YR2018,36.8100191810716
IDA,YR2019,37.3146540500411
IDB,YR2006,36.5631292060157
IDB,YR2007,37.0245428241774
IDB,YR2008,37.4915455567519
IDB,YR2009,37.9635043851885
IDB,YR2010,38.4507680245736
IDB,YR2011,38.9228261139946
IDB,YR2012,39.3747270989607
IDB,YR2013,39.8320608128441
IDB,YR2014,40.2966957063563
IDB,YR2015,40.766840102098
IDB,YR2016,41.2390160837326
IDB,YR2017,41.7105516060577
IDB,YR2018,42.1878840162772
IDB,YR2019,42.6719640958461
IDN,YR2006,46.738
IDN,YR2007,47.535
IDN,YR2008,48.335
IDN,YR2009,49.134
IDN,YR2010,49.914
IDN,YR2011,50.595
IDN,YR2012,51.276
IDN,YR2013,51.955
IDN,YR2014,52.635
IDN,YR2015,53.313
IDN,YR2016,53.989
IDN,YR2017,54.659
IDN,YR2018,55.325
IDN,YR2019,55.985
IDX,YR2006,28.6588929396532
IDX,YR2007,29.0617336116776
IDX,YR2008,29.5283852253563
IDX,YR2009,29.985848651202
IDX,YR2010,30.4536269076745
IDX,YR2011,30.8903146602699
IDX,YR2012,31.3080443240977
IDX,YR2013,31.7152500404597
IDX,YR2014,32.1332783131068
IDX,YR2015,32.6097069504111
IDX,YR2016,33.1074559929785
IDX,YR2017,33.6158603467359
IDX,YR2018,34.1303734365215
IDX,YR2019,34.6531641630946
IMN,YR2006,51.922
IMN,YR2007,51.94
IMN,YR2008,51.958
IMN,YR2009,51.976
IMN,YR2010,51.994
IMN,YR2011,52.012
IMN,YR2012,52.046
IMN,YR2013,52.096
IMN,YR2014,52.162
IMN,YR2015,52.245
IMN,YR2016,52.343
IMN,YR2017,52.458
IMN,YR2018,52.588
IMN,YR2019,52.735
IND,YR2006,29.569
IND,YR2007,29.906
IND,YR2008,30.246
IND,YR2009,30.587
IND,YR2010,30.93
IND,YR2011,31.276
IND,YR2012,31.634
IND,YR2013,32.003
IND,YR2014,32.384
IND,YR2015,32.777
IND,YR2016,33.182
IND,YR2017,33.6
IND,YR2018,34.03
IND,YR2019,34.472
IRL,YR2006,60.738
IRL,YR2007,60.94
IRL,YR2008,61.141
IRL,YR2009,61.342
IRL,YR2010,61.542
IRL,YR2011,61.742
IRL,YR2012,61.942
IRL,YR2013,62.141
IRL,YR2014,62.34
IRL,YR2015,62.538
IRL,YR2016,62.737
IRL,YR2017,62.947
IRL,YR2018,63.17
IRL,YR2019,63.405
IRN,YR2006,68.239
IRN,YR2007,68.864
IRN,YR2008,69.458
IRN,YR2009,70.045
IRN,YR2010,70.626
IRN,YR2011,71.2
IRN,YR2012,71.755
IRN,YR2013,72.295
IRN,YR2014,72.83
IRN,YR2015,73.358
IRN,YR2016,73.88
IRN,YR2017,74.394
IRN,YR2018,74.898
IRN,YR2019,75.391
IRQ,YR2006,68.819
IRQ,YR2007,68.873
IRQ,YR2008,68.927
IRQ,YR2009,68.98
IRQ,YR2010,69.103
IRQ,YR2011,69.268
IRQ,YR2012,69.432
IRQ,YR2013,69.595
IRQ,YR2014,69.758
IRQ,YR2015,69.921
IRQ,YR2016,70.094
IRQ,YR2017,70.278
IRQ,YR2018,70.473
IRQ,YR2019,70.678
ISL,YR2006,93.159
ISL,YR2007,93.278
ISL,YR2008,93.395
ISL,YR2009,93.511
ISL,YR2010,93.574
ISL,YR2011,93.587
ISL,YR2012,93.6
ISL,YR2013,93.633
ISL,YR2014,93.667
ISL,YR2015,93.7
ISL,YR2016,93.735
ISL,YR2017,93.773
ISL,YR2018,93.813
ISL,YR2019,93.855
ISR,YR2006,91.58
ISR,YR2007,91.641
ISR,YR2008,91.702
ISR,YR2009,91.763
ISR,YR2010,91.826
ISR,YR2011,91.892
ISR,YR2012,91.96
ISR,YR2013,92.031
ISR,YR2014,92.104
ISR,YR2015,92.179
ISR,YR2016,92.256
ISR,YR2017,92.336
ISR,YR2018,92.418
ISR,YR2019,92.501
ITA,YR2006,67.856
ITA,YR2007,67.974
ITA,YR2008,68.092
ITA,YR2009,68.209
ITA,YR2010,68.327
ITA,YR2011,68.444
ITA,YR2012,68.684
ITA,YR2013,68.979
ITA,YR2014,69.272
ITA,YR2015,69.565
ITA,YR2016,69.855
ITA,YR2017,70.144
ITA,YR2018,70.438
ITA,YR2019,70.736
JAM,YR2006,52.998
JAM,YR2007,53.184
JAM,YR2008,53.371
JAM,YR2009,53.557
JAM,YR2010,53.743
JAM,YR2011,53.93
JAM,YR2012,54.132
JAM,YR2013,54.35
JAM,YR2014,54.584
JAM,YR2015,54.833
JAM,YR2016,55.098
JAM,YR2017,55.378
JAM,YR2018,55.674
JAM,YR2019,55.985
JOR,YR2006,80.97
JOR,YR2007,82.371
JOR,YR2008,83.692
JOR,YR2009,84.928
JOR,YR2010,86.088
JOR,YR2011,87.172
JOR,YR2012,88.185
JOR,YR2013,89.125
JOR,YR2014,90.0
JOR,YR2015,90.256
JOR,YR2016,90.506
JOR,YR2017,90.747
JOR,YR2018,90.979
JOR,YR2019,91.203
JPN,YR2006,87.118
JPN,YR2007,88.146
JPN,YR2008,89.103
JPN,YR2009,89.989
JPN,YR2010,90.812
JPN,YR2011,91.069
JPN,YR2012,91.148
JPN,YR2013,91.226
JPN,YR2014,91.304
JPN,YR2015,91.381
JPN,YR2016,91.457
JPN,YR2017,91.535
JPN,YR2018,91.616
JPN,YR2019,91.698
KAZ,YR2006,56.536
KAZ,YR2007,56.609
KAZ,YR2008,56.682
KAZ,YR2009,56.755
KAZ,YR2010,56.827
KAZ,YR2011,56.9
KAZ,YR2012,56.973
KAZ,YR2013,57.046
KAZ,YR2014,57.118
KAZ,YR2015,57.191
KAZ,YR2016,57.264
KAZ,YR2017,57.336
KAZ,YR2018,57.428
KAZ,YR2019,57.54
KEN,YR2006,22.045
KEN,YR2007,22.42
KEN,YR2008,22.8
KEN,YR2009,23.183
KEN,YR2010,23.571
KEN,YR2011,23.969
KEN,YR2012,24.376
KEN,YR2013,24.794
KEN,YR2014,25.221
KEN,YR2015,25.658
KEN,YR2016,26.105
KEN,YR2017,26.562
KEN,YR2018,27.03
KEN,YR2019,27.507
KGZ,YR2006,35.289
KGZ,YR2007,35.287
KGZ,YR2008,35.285
KGZ,YR2009,35.284
KGZ,YR2010,35.306
KGZ,YR2011,35.352
KGZ,YR2012,35.423
KGZ,YR2013,35.517
KGZ,YR2014,35.635
KGZ,YR2015,35.777
KGZ,YR2016,35.944
KGZ,YR2017,36.135
KGZ,YR2018,36.351
KGZ,YR2019,36.591
KHM,YR2006,19.293
KHM,YR2007,19.413
KHM,YR2008,19.571
KHM,YR2009,19.93
KHM,YR2010,20.294
KHM,YR2011,20.663
KHM,YR2012,21.037
KHM,YR2013,21.415
KHM,YR2014,21.799
KHM,YR2015,22.188
KHM,YR2016,22.582
KHM,YR2017,22.98
KHM,YR2018,23.388
KHM,YR2019,23.805
KIR,YR2006,44.03
KIR,YR2007,44.866
KIR,YR2008,45.706
KIR,YR2009,46.547
KIR,YR2010,47.39
KIR,YR2011,48.235
KIR,YR2012,49.082
KIR,YR2013,49.927
KIR,YR2014,50.773
KIR,YR2015,51.619
KIR,YR2016,52.45
KIR,YR2017,53.262
KIR,YR2018,54.057
KIR,YR2019,54.835
KNA,YR2006,31.886
KNA,YR2007,31.744
KNA,YR2008,31.603
KNA,YR2009,31.463
KNA,YR2010,31.322
KNA,YR2011,31.182
KNA,YR2012,31.062
KNA,YR2013,30.964
KNA,YR2014,30.885
KNA,YR2015,30.827
KNA,YR2016,30.79
KNA,YR2017,30.773
KNA,YR2018,30.776
KNA,YR2019,30.799
KOR,YR2006,81.528
KOR,YR2007,81.631
KOR,YR2008,81.733
KOR,YR2009,81.835
KOR,YR2010,81.936
KOR,YR2011,81.923
KOR,YR2012,81.851
KOR,YR2013,81.779
KOR,YR2014,81.707
KOR,YR2015,81.634
KOR,YR2016,81.562
KOR,YR2017,81.503
KOR,YR2018,81.459
KOR,YR2019,81.43
KWT,YR2006,100.0
KWT,YR2007,100.0
KWT,YR2008,100.0
KWT,YR2009,100.0
KWT,YR2010,100.0
KWT,YR2011,100.0
KWT,YR2012,100.0
KWT,YR2013,100.0
KWT,YR2014,100.0
KWT,YR2015,100.0
KWT,YR2016,100.0
KWT,YR2017,100.0
KWT,YR2018,100.0
KWT,YR2019,100.0
LAC,YR2006,76.5775483622096
LAC,YR2007,76.9031822938371
LAC,YR2008,77.2216679948183
LAC,YR2009,77.5321414755708
LAC,YR2010,77.8343462682728
LAC,YR2011,78.1423052544252
LAC,YR2012,78.4417668987732
LAC,YR2013,78.7350700236195
LAC,YR2014,79.0255686523475
LAC,YR2015,79.3129235369065
LAC,YR2016,79.5959374525545
LAC,YR2017,79.8751638517647
LAC,YR2018,80.1498957815785
LAC,YR2019,80.4218535389679
LAO,YR2006,27.748
LAO,YR2007,28.316
LAO,YR2008,28.893
LAO,YR2009,29.475
LAO,YR2010,30.064
LAO,YR2011,30.66
LAO,YR2012,31.264
LAO,YR2013,31.872
LAO,YR2014,32.487
LAO,YR2015,33.108
LAO,YR2016,33.736
LAO,YR2017,34.368
LAO,YR2018,35.004
LAO,YR2019,35.645
LBN,YR2006,86.762
LBN,YR2007,86.901
LBN,YR2008,87.042
LBN,YR2009,87.187
LBN,YR2010,87.334
LBN,YR2011,87.484
LBN,YR2012,87.636
LBN,YR2013,87.79
LBN,YR2014,87.947
LBN,YR2015,88.106
LBN,YR2016,88.266
LBN,YR2017,88.429
LBN,YR2018,88.593
LBN,YR2019,88.758
LBR,YR2006,46.396
LBR,YR2007,46.742
LBR,YR2008,47.088
LBR,YR2009,47.445
LBR,YR2010,47.813
LBR,YR2011,48.193
LBR,YR2012,48.583
LBR,YR2013,48.985
LBR,YR2014,49.397
LBR,YR2015,49.82
LBR,YR2016,50.254
LBR,YR2017,50.697
LBR,YR2018,51.151
LBR,YR2019,51.615
LBY,YR2006,77.253
LBY,YR2007,77.437
LBY,YR2008,77.632
LBY,YR2009,77.837
LBY,YR2010,78.052
LBY,YR2011,78.277
LBY,YR2012,78.512
LBY,YR2013,78.756
LBY,YR2014,79.009
LBY,YR2015,79.27
LBY,YR2016,79.54
LBY,YR2017,79.817
LBY,YR2018,80.102
LBY,YR2019,80.393
LCA,YR2006,22.068
LCA,YR2007,21.084
LCA,YR2008,20.131
LCA,YR2009,19.213
LCA,YR2010,18.45
LCA,YR2011,18.45
LCA,YR2012,18.45
LCA,YR2013,18.461
LCA,YR2014,18.482
LCA,YR2015,18.515
LCA,YR2016,18.558
LCA,YR2017,18.612
LCA,YR2018,18.678
LCA,YR2019,18.754
LCN,YR2006,77.4229529089636
LCN,YR2007,77.7196869018948
LCN,YR2008,78.0100102604762
LCN,YR2009,78.2931326393543
LCN,YR2010,78.5690496086234
LCN,YR2011,78.8489406838531
LCN,YR2012,79.1205088100171
LCN,YR2013,79.3863342145714
LCN,YR2014,79.6495960777735
LCN,YR2015,79.9100806771376
LCN,YR2016,80.1657831218561
LCN,YR2017,80.4144531276213
LCN,YR2018,80.6507081658117
LCN,YR2019,80.8888555976171
LDC,YR2006,27.5769223566408
LDC,YR2007,27.9796837534725
LDC,YR2008,28.4710904671405
LDC,YR2009,28.9664535504574
LDC,YR2010,29.4693407831693
LDC,YR2011,29.97860943667
LDC,YR2012,30.4785437247798
LDC,YR2013,30.9853296693126
LDC,YR2014,31.502046202245
LDC,YR2015,32.0278923787546
LDC,YR2016,32.5628128213206
LDC,YR2017,33.1031178968817
LDC,YR2018,33.6434969188469
LDC,YR2019,34.183200899884
LIC,YR2006,28.7541685175966
LIC,YR2007,28.9964689148547
LIC,YR2008,29.3527228576366
LIC,YR2009,29.687244144617
LIC,YR2010,30.0406515548121
LIC,YR2011,30.3355387322062
LIC,YR2012,30.5917986570125
LIC,YR2013,30.8276679434555
LIC,YR2014,31.0816613014209
LIC,YR2015,31.4399247487518
LIC,YR2016,31.8382350835973
LIC,YR2017,32.2565136562569
LIC,YR2018,32.6880698383685
LIC,YR2019,33.1343404628313
LIE,YR2006,14.684
LIE,YR2007,14.629
LIE,YR2008,14.574
LIE,YR2009,14.519
LIE,YR2010,14.464
LIE,YR2011,14.41
LIE,YR2012,14.367
LIE,YR2013,14.334
LIE,YR2014,14.313
LIE,YR2015,14.303
LIE,YR2016,14.303
LIE,YR2017,14.315
LIE,YR2018,14.338
LIE,YR2019,14.371
LKA,YR2006,18.288
LKA,YR2007,18.272
LKA,YR2008,18.257
LKA,YR2009,18.242
LKA,YR2010,18.226
LKA,YR2011,18.211
LKA,YR2012,18.196
LKA,YR2013,18.198
LKA,YR2014,18.218
LKA,YR2015,18.256
LKA,YR2016,18.311
LKA,YR2017,18.384
LKA,YR2018,18.476
LKA,YR2019,18.585
LMC,YR2006,35.1849242194799
LMC,YR2007,35.5837539728078
LMC,YR2008,35.9829224385828
LMC,YR2009,36.3872359003685
LMC,YR2010,36.7971389674686
LMC,YR2011,37.2144884156748
LMC,YR2012,37.6345052563164
LMC,YR2013,38.07627699892
LMC,YR2014,38.5395423780912
LMC,YR2015,39.002837102218
LMC,YR2016,39.4564123844965
LMC,YR2017,39.9099844622441
LMC,YR2018,40.3719149525759
LMC,YR2019,40.8418509698702
LMY,YR2006,43.3811833014918
LMY,YR2007,43.9477146477449
LMY,YR2008,44.5285584961742
LMY,YR2009,45.1080074617248
LMY,YR2010,45.6845155165688
LMY,YR2011,46.2334057976229
LMY,YR2012,46.7743433009926
LMY,YR2013,47.324107054985
LMY,YR2014,47.8820950620396
LMY,YR2015,48.4449061908192
LMY,YR2016,48.9995392821923
LMY,YR2017,49.5491314717054
LMY,YR2018,50.0925452969915
LMY,YR2019,50.6272727161025
LSO,YR2006,22.82
LSO,YR2007,23.304
LSO,YR2008,23.796
LSO,YR2009,24.293
LSO,YR2010,24.798
LSO,YR2011,25.31
LSO,YR2012,25.704
LSO,YR2013,26.101
LSO,YR2014,26.502
LSO,YR2015,26.908
LSO,YR2016,27.317
LSO,YR2017,27.73
LSO,YR2018,28.153
LSO,YR2019,28.585
LTE,YR2006,51.3732204870321
LTE,YR2007,52.3535569477751
LTE,YR2008,53.3410722807317
LTE,YR2009,54.3258193844192
LTE,YR2010,55.3054397615554
LTE,YR2011,56.2255385342833
LTE,YR2012,57.1210662960045
LTE,YR2013,58.0182143773389
LTE,YR2014,58.9145067789125
LTE,YR2015,59.8047831440819
LTE,YR2016,60.6906841623276
LTE,YR2017,61.5691098549486
LTE,YR2018,62.431195617374
LTE,YR2019,63.273888232995
LTU,YR2006,66.706
LTU,YR2007,66.777
LTU,YR2008,66.848
LTU,YR2009,66.842
LTU,YR2010,66.757
LTU,YR2011,66.741
LTU,YR2012,66.864
LTU,YR2013,66.986
LTU,YR2014,67.108
LTU,YR2015,67.23
LTU,YR2016,67.366
LTU,YR2017,67.516
LTU,YR2018,67.679
LTU,YR2019,67.855
LUX,YR2006,87.009
LUX,YR2007,87.409
LUX,YR2008,87.8
LUX,YR2009,88.178
LUX,YR2010,88.547
LUX,YR2011,88.906
LUX,YR2012,89.249
LUX,YR2013,89.574
LUX,YR2014,89.884
LUX,YR2015,90.179
LUX,YR2016,90.46
LUX,YR2017,90.727
LUX,YR2018,90.981
LUX,YR2019,91.223
LVA,YR2006,67.967
LVA,YR2007,67.9
LVA,YR2008,67.834
LVA,YR2009,67.814
LVA,YR2010,67.841
LVA,YR2011,67.869
LVA,YR2012,67.897
LVA,YR2013,67.925
LVA,YR2014,67.952
LVA,YR2015,67.98
LVA,YR2016,68.021
LVA,YR2017,68.075
LVA,YR2018,68.142
LVA,YR2019,68.222
MAC,YR2006,100.0
MAC,YR2007,100.0
MAC,YR2008,100.0
MAC,YR2009,100.0
